epoch,step,train/loss_epoch,train/loss_step,val/loss,val/psnr
0,49,,0.23448722064495087,,
0,99,,0.24518434703350067,,
0,149,,0.25588464736938477,,
0,199,,0.21474185585975647,,
0,199,,,0.2478923499584198,11.981966018676758
0,199,0.25597813725471497,,,
1,249,,0.16163858771324158,,
1,299,,0.11474689096212387,,
1,349,,0.114442840218544,,
1,399,,0.09523120522499084,,
1,399,,,0.07552595436573029,20.650808334350586
1,399,0.10974004119634628,,,
2,449,,0.06308620423078537,,
2,499,,0.05274773761630058,,
2,549,,0.08340583741664886,,
2,599,,0.054348431527614594,,
2,599,,,0.0607324056327343,22.0795955657959
2,599,0.07241498678922653,,,
3,649,,0.061224713921546936,,
3,699,,0.051697563380002975,,
3,749,,0.06715729087591171,,
3,799,,0.07330022752285004,,
3,799,,,0.05894432216882706,22.349700927734375
3,799,0.06682588905096054,,,
4,849,,0.07646848261356354,,
4,899,,0.047099627554416656,,
4,949,,0.07472984492778778,,
4,999,,0.05122452974319458,,
4,999,,,0.059513092041015625,22.264699935913086
4,999,0.061637457460165024,,,
5,1049,,0.0352686271071434,,
5,1099,,0.07148191332817078,,
5,1149,,0.06524281203746796,,
5,1199,,0.05185249447822571,,
5,1199,,,0.05182524397969246,23.121328353881836
5,1199,0.05973077937960625,,,
6,1249,,0.033642128109931946,,
6,1299,,0.054737918078899384,,
6,1349,,0.059980422258377075,,
6,1399,,0.06146566569805145,,
6,1399,,,0.04934028908610344,23.477977752685547
6,1399,0.05724838748574257,,,
7,1449,,0.06938295066356659,,
7,1499,,0.07149383425712585,,
7,1549,,0.061615344136953354,,
7,1599,,0.04792336747050285,,
7,1599,,,0.04708705097436905,23.842758178710938
7,1599,0.056493423879146576,,,
8,1649,,0.04842317849397659,,
8,1699,,0.039818741381168365,,
8,1749,,0.04691019654273987,,
8,1799,,0.06326267123222351,,
8,1799,,,0.04627673327922821,23.98946762084961
8,1799,0.05286484211683273,,,
9,1849,,0.06997227668762207,,
9,1899,,0.0645454004406929,,
9,1949,,0.06199967488646507,,
9,1999,,0.06862646341323853,,
9,1999,,,0.04590848460793495,23.9363956451416
9,1999,0.05204485356807709,,,
10,2049,,0.04576737433671951,,
10,2099,,0.05170637369155884,,
10,2149,,0.05199601501226425,,
10,2199,,0.04626866802573204,,
10,2199,,,0.04460331052541733,24.301860809326172
10,2199,0.050776317715644836,,,
11,2249,,0.045643340796232224,,
11,2299,,0.033687151968479156,,
11,2349,,0.04709485173225403,,
11,2399,,0.03792804479598999,,
11,2399,,,0.04395804554224014,24.165821075439453
11,2399,0.04794345423579216,,,
12,2449,,0.03499831259250641,,
12,2499,,0.06538332998752594,,
12,2549,,0.06369923055171967,,
12,2599,,0.0568343847990036,,
12,2599,,,0.043250732123851776,24.346254348754883
12,2599,0.04825965315103531,,,
13,2649,,0.05677226185798645,,
13,2699,,0.045677781105041504,,
13,2749,,0.03859899565577507,,
13,2799,,0.043523069471120834,,
13,2799,,,0.03945250064134598,25.160106658935547
13,2799,0.046470850706100464,,,
14,2849,,0.041435908526182175,,
14,2899,,0.04342028498649597,,
14,2949,,0.05493578314781189,,
14,2999,,0.035204313695430756,,
14,2999,,,0.03822876140475273,25.247285842895508
14,2999,0.043264035135507584,,,
15,3049,,0.03631718084216118,,
15,3099,,0.06282269954681396,,
15,3149,,0.04316554218530655,,
15,3199,,0.04521883279085159,,
15,3199,,,0.03904687240719795,25.38199234008789
15,3199,0.044569507241249084,,,
16,3249,,0.03849877044558525,,
16,3299,,0.048010990023612976,,
16,3349,,0.044844191521406174,,
16,3399,,0.03664892539381981,,
16,3399,,,0.03978651016950607,24.948772430419922
16,3399,0.04193193465471268,,,
17,3449,,0.0408383272588253,,
17,3499,,0.03920890390872955,,
17,3549,,0.042016588151454926,,
17,3599,,0.04000146687030792,,
17,3599,,,0.03534388914704323,25.989757537841797
17,3599,0.04159821569919586,,,
18,3649,,0.039772987365722656,,
18,3699,,0.03123047575354576,,
18,3749,,0.03653203696012497,,
18,3799,,0.03863334655761719,,
18,3799,,,0.03570476919412613,26.031658172607422
18,3799,0.039505913853645325,,,
19,3849,,0.03652843460440636,,
19,3899,,0.039638884365558624,,
19,3949,,0.043376024812459946,,
19,3999,,0.026333777233958244,,
19,3999,,,0.03398728370666504,26.207921981811523
19,3999,0.04008354991674423,,,
20,4049,,0.035830043256282806,,
20,4099,,0.03451506793498993,,
20,4149,,0.05374174937605858,,
20,4199,,0.05113206058740616,,
20,4199,,,0.034292396157979965,26.080530166625977
20,4199,0.03857352212071419,,,
21,4249,,0.0463879331946373,,
21,4299,,0.02022537961602211,,
