epoch,step,train/loss_epoch,train/loss_step,val/loss,val/psnr
0,49,,0.18851804733276367,,
0,99,,0.18147572875022888,,
0,149,,0.18444061279296875,,
0,199,,0.1864646077156067,,
0,199,,,0.18899822235107422,13.071805953979492
0,199,0.18946465849876404,,,
1,249,,0.15957818925380707,,
1,299,,0.1087523028254509,,
1,349,,0.11623525619506836,,
1,399,,0.08726277202367783,,
1,399,,,0.07768379151821136,20.567874908447266
1,399,0.10646655410528183,,,
2,449,,0.0700635015964508,,
2,499,,0.05251232907176018,,
2,549,,0.07650847733020782,,
2,599,,0.06509988754987717,,
2,599,,,0.06288696825504303,21.90964698791504
2,599,0.0730496197938919,,,
3,649,,0.06148795410990715,,
3,699,,0.05167509615421295,,
3,749,,0.0611228421330452,,
3,799,,0.06351348012685776,,
3,799,,,0.055730629712343216,22.684368133544922
3,799,0.06531672924757004,,,
4,849,,0.0777018815279007,,
4,899,,0.054911382496356964,,
4,949,,0.0794299989938736,,
4,999,,0.059437692165374756,,
4,999,,,0.05788745358586311,22.440059661865234
4,999,0.061610233038663864,,,
5,1049,,0.03252118080854416,,
5,1099,,0.09049751609563828,,
5,1149,,0.078047975897789,,
5,1199,,0.04888841509819031,,
5,1199,,,0.05300343036651611,22.97026824951172
5,1199,0.06037754938006401,,,
6,1249,,0.03711855411529541,,
6,1299,,0.050850994884967804,,
6,1349,,0.059029024094343185,,
6,1399,,0.06030690670013428,,
6,1399,,,0.048459820449352264,23.582904815673828
6,1399,0.055810436606407166,,,
7,1449,,0.07216537743806839,,
7,1499,,0.07469388842582703,,
7,1549,,0.05085112899541855,,
7,1599,,0.05169142410159111,,
7,1599,,,0.047760605812072754,23.722246170043945
7,1599,0.05516115203499794,,,
8,1649,,0.03641192242503166,,
8,1699,,0.04176206886768341,,
8,1749,,0.04378943890333176,,
8,1799,,0.061344437301158905,,
8,1799,,,0.04485781118273735,24.159454345703125
8,1799,0.052752476185560226,,,
9,1849,,0.060458503663539886,,
9,1899,,0.07727742195129395,,
9,1949,,0.05532937869429588,,
9,1999,,0.06293050199747086,,
9,1999,,,0.045234400779008865,24.011194229125977
9,1999,0.05116964504122734,,,
10,2049,,0.04573065787553787,,
10,2099,,0.06476511806249619,,
10,2149,,0.05027109012007713,,
10,2199,,0.05090036243200302,,
10,2199,,,0.042646195739507675,24.586591720581055
10,2199,0.050383999943733215,,,
11,2249,,0.041103754192590714,,
11,2299,,0.03629228100180626,,
11,2349,,0.040683113038539886,,
11,2399,,0.044158123433589935,,
11,2399,,,0.0437433198094368,24.323331832885742
11,2399,0.04667961224913597,,,
12,2449,,0.03840496391057968,,
12,2499,,0.0732150599360466,,
12,2549,,0.0661739632487297,,
12,2599,,0.051188163459300995,,
12,2599,,,0.03981006145477295,24.92336654663086
12,2599,0.046703506261110306,,,
13,2649,,0.05259630084037781,,
13,2699,,0.0491657555103302,,
13,2749,,0.03288345783948898,,
13,2799,,0.0549495592713356,,
13,2799,,,0.0387730672955513,25.11893653869629
13,2799,0.044871874153614044,,,
14,2849,,0.03902043402194977,,
14,2899,,0.04455427825450897,,
14,2949,,0.05395442247390747,,
14,2999,,0.03554718196392059,,
14,2999,,,0.03814581036567688,25.21271324157715
