epoch,step,train/loss_epoch,train/loss_step,val/loss,val/psnr
0,49,,0.1789185255765915,,
0,99,,0.18209514021873474,,
0,149,,0.18215179443359375,,
0,199,,0.18915919959545135,,
0,199,,,0.1889379918575287,13.162496566772461
0,199,0.19206415116786957,,,
1,249,,0.13038919866085052,,
1,299,,0.10151518881320953,,
1,349,,0.11395233869552612,,
1,399,,0.08599112927913666,,
1,399,,,0.07462447881698608,20.805526733398438
1,399,0.10008226335048676,,,
2,449,,0.0717829167842865,,
2,499,,0.0547625795006752,,
2,549,,0.07780063152313232,,
2,599,,0.05841926857829094,,
2,599,,,0.06579120457172394,21.570608139038086
2,599,0.07347626239061356,,,
3,649,,0.060504358261823654,,
3,699,,0.05466436967253685,,
3,749,,0.06696560978889465,,
3,799,,0.07711546123027802,,
3,799,,,0.06321652233600616,21.97775650024414
3,799,0.06581579893827438,,,
4,849,,0.06887195259332657,,
4,899,,0.04861844703555107,,
4,949,,0.08246852457523346,,
4,999,,0.05857900530099869,,
4,999,,,0.055624477565288544,22.656932830810547
4,999,0.06176458299160004,,,
5,1049,,0.037376224994659424,,
5,1099,,0.0770033597946167,,
5,1149,,0.07346296310424805,,
5,1199,,0.04910159856081009,,
5,1199,,,0.05272407457232475,22.958560943603516
5,1199,0.059932440519332886,,,
6,1249,,0.038529690355062485,,
6,1299,,0.052305977791547775,,
6,1349,,0.053025588393211365,,
6,1399,,0.05578211694955826,,
6,1399,,,0.04943903535604477,23.4964542388916
6,1399,0.057751093059778214,,,
7,1449,,0.07480763643980026,,
7,1499,,0.07605065405368805,,
7,1549,,0.0576462559401989,,
7,1599,,0.048263680189847946,,
7,1599,,,0.04793212562799454,23.617788314819336
7,1599,0.055770039558410645,,,
8,1649,,0.04146379977464676,,
8,1699,,0.04165564477443695,,
8,1749,,0.051028959453105927,,
8,1799,,0.055329322814941406,,
8,1799,,,0.045850325375795364,24.051189422607422
8,1799,0.05269269645214081,,,
9,1849,,0.06409698724746704,,
9,1899,,0.060625068843364716,,
9,1949,,0.05330142006278038,,
9,1999,,0.05944060534238815,,
9,1999,,,0.045441947877407074,24.05767822265625
9,1999,0.0518072284758091,,,
10,2049,,0.04409074783325195,,
10,2099,,0.050903718918561935,,
10,2149,,0.05950995907187462,,
10,2199,,0.046497564762830734,,
10,2199,,,0.04865137115120888,24.002918243408203
10,2199,0.05021698400378227,,,
11,2249,,0.05081074684858322,,
11,2299,,0.037667762488126755,,
11,2349,,0.0438663586974144,,
11,2399,,0.041800543665885925,,
11,2399,,,0.043828852474689484,24.30409049987793
11,2399,0.047207146883010864,,,
12,2449,,0.03774226829409599,,
12,2499,,0.07509678602218628,,
12,2549,,0.06767908483743668,,
12,2599,,0.06380270421504974,,
12,2599,,,0.041247010231018066,24.650096893310547
12,2599,0.04777371510863304,,,
13,2649,,0.05861525982618332,,
13,2699,,0.04893707484006882,,
13,2749,,0.03581319749355316,,
13,2799,,0.044352106750011444,,
13,2799,,,0.03863142058253288,25.16286849975586
13,2799,0.04647381603717804,,,
14,2849,,0.032721586525440216,,
14,2899,,0.04754436016082764,,
14,2949,,0.05835273861885071,,
14,2999,,0.03136586397886276,,
14,2999,,,0.036985013633966446,25.439977645874023
14,2999,0.043777402490377426,,,
15,3049,,0.031453937292099,,
15,3099,,0.07610972225666046,,
15,3149,,0.04534659907221794,,
15,3199,,0.045298248529434204,,
15,3199,,,0.037160180509090424,25.68808937072754
15,3199,0.04383964091539383,,,
16,3249,,0.03449232503771782,,
16,3299,,0.04433676600456238,,
16,3349,,0.040332432836294174,,
16,3399,,0.035825327038764954,,
16,3399,,,0.036545827984809875,25.593921661376953
16,3399,0.04127686470746994,,,
17,3449,,0.03723711520433426,,
17,3499,,0.03446720167994499,,
17,3549,,0.043007880449295044,,
17,3599,,0.040470823645591736,,
17,3599,,,0.0339014008641243,26.075658798217773
17,3599,0.04097655788064003,,,
18,3649,,0.04503859207034111,,
18,3699,,0.032157838344573975,,
18,3749,,0.031031016260385513,,
18,3799,,0.03677299991250038,,
18,3799,,,0.034593019634485245,26.126781463623047
18,3799,0.03905613720417023,,,
19,3849,,0.03155079111456871,,
19,3899,,0.034361764788627625,,
19,3949,,0.04409981518983841,,
19,3999,,0.026915311813354492,,
19,3999,,,0.03348689526319504,26.264301300048828
19,3999,0.03954238072037697,,,
20,4049,,0.03811310976743698,,
20,4099,,0.040137942880392075,,
20,4149,,0.040249425917863846,,
20,4199,,0.048695944249629974,,
20,4199,,,0.03550838306546211,25.833820343017578
20,4199,0.039213187992572784,,,
21,4249,,0.037251584231853485,,
21,4299,,0.019960982725024223,,
21,4349,,0.03512170910835266,,
21,4399,,0.03337898850440979,,
21,4399,,,0.033141206949949265,26.35141944885254
21,4399,0.03817389905452728,,,
22,4449,,0.04548562690615654,,
22,4499,,0.02964175119996071,,
22,4549,,0.0393950492143631,,
22,4599,,0.03496117144823074,,
22,4599,,,0.03202388435602188,26.688512802124023
22,4599,0.036485545337200165,,,
23,4649,,0.03761810064315796,,
23,4699,,0.049025759100914,,
23,4749,,0.05313662812113762,,
23,4799,,0.02580159530043602,,
23,4799,,,0.034167058765888214,26.045028686523438
