epoch,step,train/loss_epoch,train/loss_step,val/loss,val/psnr
0,49,,0.1997561901807785,,
0,99,,0.21505066752433777,,
0,149,,0.2020362913608551,,
0,199,,0.184025377035141,,
0,199,,,0.2079421579837799,12.664652824401855
0,199,0.21572932600975037,,,
1,249,,0.1643189787864685,,
1,299,,0.12061367928981781,,
1,349,,0.11366289854049683,,
1,399,,0.07024426758289337,,
1,399,,,0.08758766204118729,19.828540802001953
1,399,0.11230862885713577,,,
2,449,,0.08163001388311386,,
2,499,,0.06095155328512192,,
2,549,,0.08591979742050171,,
2,599,,0.054910436272621155,,
2,599,,,0.06564974039793015,21.64315414428711
2,599,0.08016348630189896,,,
3,649,,0.06429322063922882,,
3,699,,0.05522282049059868,,
3,749,,0.06915002316236496,,
3,799,,0.07444693148136139,,
3,799,,,0.05894612520933151,22.397464752197266
3,799,0.06619209051132202,,,
4,849,,0.06471031904220581,,
4,899,,0.04698517918586731,,
4,949,,0.07796136289834976,,
4,999,,0.05661202594637871,,
4,999,,,0.055736441165208817,22.676721572875977
4,999,0.06203081086277962,,,
5,1049,,0.03402222320437431,,
5,1099,,0.08280928432941437,,
5,1149,,0.07701349258422852,,
5,1199,,0.04956211894750595,,
5,1199,,,0.051399003714323044,23.16676902770996
5,1199,0.05907486379146576,,,
6,1249,,0.04360422119498253,,
6,1299,,0.04873273894190788,,
6,1349,,0.059075288474559784,,
6,1399,,0.060823895037174225,,
6,1399,,,0.05435118079185486,22.98400115966797
6,1399,0.0565454475581646,,,
7,1449,,0.07729576528072357,,
7,1499,,0.07266069203615189,,
7,1549,,0.058294087648391724,,
7,1599,,0.04580789804458618,,
7,1599,,,0.04811088740825653,23.5987491607666
7,1599,0.055333785712718964,,,
8,1649,,0.045527927577495575,,
8,1699,,0.04934285208582878,,
8,1749,,0.05208257958292961,,
8,1799,,0.05005752295255661,,
8,1799,,,0.04500574246048927,24.199085235595703
8,1799,0.05274160951375961,,,
9,1849,,0.06094694137573242,,
9,1899,,0.06588108837604523,,
9,1949,,0.06550507992506027,,
9,1999,,0.06305378675460815,,
9,1999,,,0.045194029808044434,24.044958114624023
9,1999,0.050331000238657,,,
10,2049,,0.04326355457305908,,
10,2099,,0.05161970481276512,,
10,2149,,0.05170920491218567,,
10,2199,,0.04560144990682602,,
10,2199,,,0.045014604926109314,24.45919418334961
10,2199,0.04908895492553711,,,
11,2249,,0.046437978744506836,,
11,2299,,0.04173225164413452,,
11,2349,,0.043542079627513885,,
11,2399,,0.033886633813381195,,
11,2399,,,0.0405137725174427,24.74972915649414
11,2399,0.04670507460832596,,,
12,2449,,0.03702017292380333,,
12,2499,,0.06945235282182693,,
12,2549,,0.059409793466329575,,
12,2599,,0.05303230136632919,,
12,2599,,,0.040667105466127396,24.79452896118164
12,2599,0.04649204760789871,,,
13,2649,,0.062447741627693176,,
13,2699,,0.046528637409210205,,
13,2749,,0.032628774642944336,,
13,2799,,0.043633751571178436,,
13,2799,,,0.03731917589902878,25.375396728515625
13,2799,0.04551387205719948,,,
14,2849,,0.02661585807800293,,
14,2899,,0.04934435337781906,,
14,2949,,0.05064614862203598,,
14,2999,,0.0387951135635376,,
14,2999,,,0.03775361180305481,25.326244354248047
14,2999,0.04357927292585373,,,
15,3049,,0.02836155891418457,,
15,3099,,0.06600966304540634,,
15,3149,,0.04247313737869263,,
15,3199,,0.041614942252635956,,
15,3199,,,0.03728877007961273,25.70223045349121
15,3199,0.04419701546430588,,,
16,3249,,0.03760280832648277,,
16,3299,,0.04987353831529617,,
16,3349,,0.03995632007718086,,
16,3399,,0.04374916851520538,,
16,3399,,,0.038882363587617874,25.158016204833984
16,3399,0.04168768972158432,,,
17,3449,,0.041395947337150574,,
17,3499,,0.04180680215358734,,
17,3549,,0.05512291193008423,,
17,3599,,0.04650560021400452,,
17,3599,,,0.036950334906578064,25.594385147094727
17,3599,0.040753114968538284,,,
18,3649,,0.037422068417072296,,
18,3699,,0.03092597983777523,,
18,3749,,0.0344635546207428,,
18,3799,,0.0388181172311306,,
18,3799,,,0.034690991044044495,26.080249786376953
18,3799,0.03904832899570465,,,
19,3849,,0.0271002184599638,,
19,3899,,0.03267782926559448,,
19,3949,,0.041183292865753174,,
19,3999,,0.025095436722040176,,
19,3999,,,0.03501198813319206,26.01006507873535
19,3999,0.040013574063777924,,,
20,4049,,0.03896026313304901,,
20,4099,,0.052712082862854004,,
20,4149,,0.04196512699127197,,
20,4199,,0.052754633128643036,,
20,4199,,,0.0336177684366703,26.157297134399414
20,4199,0.03930073603987694,,,
21,4249,,0.04633290693163872,,
21,4299,,0.0216382946819067,,
21,4349,,0.04244133085012436,,
21,4399,,0.031737543642520905,,
21,4399,,,0.033810630440711975,26.277996063232422
21,4399,0.0378178134560585,,,
22,4449,,0.044618140906095505,,
22,4499,,0.026449745520949364,,
22,4549,,0.04654121398925781,,
22,4599,,0.03639695420861244,,
22,4599,,,0.03194547817111015,26.77849769592285
22,4599,0.03628534451127052,,,
23,4649,,0.03919101879000664,,
23,4699,,0.04210888594388962,,
23,4749,,0.05026508495211601,,
23,4799,,0.02444331906735897,,
23,4799,,,0.0334758423268795,26.18967628479004
23,4799,0.0372200571000576,,,
24,4849,,0.040606655180454254,,
24,4899,,0.05155593156814575,,
24,4949,,0.04411878436803818,,
24,4999,,0.03411193564534187,,
24,4999,,,0.030999094247817993,26.9741268157959
24,4999,0.03701820969581604,,,
25,5049,,0.025444215163588524,,
25,5099,,0.03485667705535889,,
25,5149,,0.021567434072494507,,
25,5199,,0.03601502999663353,,
25,5199,,,0.03028975799679756,27.08771324157715
25,5199,0.03557346761226654,,,
26,5249,,0.029793918132781982,,
26,5299,,0.03534553200006485,,
26,5349,,0.035859741270542145,,
26,5399,,0.05756784602999687,,
26,5399,,,0.03132452443242073,27.010528564453125
26,5399,0.035493239760398865,,,
27,5449,,0.03641463443636894,,
27,5499,,0.035846415907144547,,
27,5549,,0.039821770042181015,,
27,5599,,0.036533065140247345,,
27,5599,,,0.03348398953676224,26.2370548248291
27,5599,0.03607141226530075,,,
28,5649,,0.03152501955628395,,
28,5699,,0.03313082456588745,,
28,5749,,0.05642368644475937,,
28,5799,,0.02895042859017849,,
28,5799,,,0.032191209495067596,26.854862213134766
28,5799,0.03577881306409836,,,
29,5849,,0.02054319903254509,,
29,5899,,0.05219278857111931,,
29,5949,,0.0423014871776104,,
29,5999,,0.03303617238998413,,
29,5999,,,0.030008429661393166,27.207427978515625
29,5999,0.0345747172832489,,,
30,6049,,0.03396426886320114,,
30,6099,,0.031458236277103424,,
30,6149,,0.027533531188964844,,
30,6199,,0.03329577296972275,,
30,6199,,,0.030491814017295837,26.960479736328125
30,6199,0.033668115735054016,,,
31,6249,,0.027042359113693237,,
31,6299,,0.0460541769862175,,
31,6349,,0.021388307213783264,,
31,6399,,0.0402713268995285,,
31,6399,,,0.02882799133658409,27.525278091430664
31,6399,0.034823428839445114,,,
32,6449,,0.028299910947680473,,
32,6499,,0.03412163257598877,,
32,6549,,0.04540632292628288,,
32,6599,,0.0284044798463583,,
32,6599,,,0.029003405943512917,27.4912166595459
32,6599,0.03385503962635994,,,
33,6649,,0.0442776083946228,,
33,6699,,0.03316037356853485,,
33,6749,,0.034118764102458954,,
33,6799,,0.04007032886147499,,
33,6799,,,0.02896248735487461,27.510051727294922
33,6799,0.033434007316827774,,,
34,6849,,0.02981714718043804,,
34,6899,,0.024688128381967545,,
34,6949,,0.022562623023986816,,
34,6999,,0.016180921345949173,,
34,6999,,,0.02911006286740303,27.58536720275879
34,6999,0.03361926227807999,,,
35,7049,,0.033478960394859314,,
35,7099,,0.025385703891515732,,
35,7149,,0.045518290251493454,,
35,7199,,0.05060334503650665,,
35,7199,,,0.028963541612029076,27.534353256225586
35,7199,0.033132296055555344,,,
36,7249,,0.03854751959443092,,
36,7299,,0.03671163320541382,,
36,7349,,0.03713999688625336,,
36,7399,,0.04054559767246246,,
36,7399,,,0.030024807900190353,27.216073989868164
36,7399,0.03192583844065666,,,
37,7449,,0.03851853311061859,,
37,7499,,0.0358966700732708,,
37,7549,,0.034325242042541504,,
37,7599,,0.0406109020113945,,
37,7599,,,0.028010303154587746,27.755428314208984
37,7599,0.03341400995850563,,,
38,7649,,0.02330656163394451,,
38,7699,,0.034290608018636703,,
38,7749,,0.041448839008808136,,
38,7799,,0.04065496847033501,,
38,7799,,,0.028478899970650673,27.687891006469727
38,7799,0.03306479752063751,,,
39,7849,,0.029938099905848503,,
39,7899,,0.025972362607717514,,
39,7949,,0.04455271363258362,,
39,7999,,0.030988916754722595,,
39,7999,,,0.027972165495157242,27.750463485717773
39,7999,0.03310791403055191,,,
40,8049,,0.021512357518076897,,
40,8099,,0.022836141288280487,,
40,8149,,0.03328150510787964,,
40,8199,,0.024073569104075432,,
40,8199,,,0.028742963448166847,27.699499130249023
40,8199,0.03212050348520279,,,
41,8249,,0.031074639409780502,,
41,8299,,0.02829071879386902,,
41,8349,,0.03823944926261902,,
41,8399,,0.03488771244883537,,
41,8399,,,0.027562815696001053,27.843914031982422
41,8399,0.031155891716480255,,,
42,8449,,0.036790162324905396,,
42,8499,,0.022071337327361107,,
42,8549,,0.033836040645837784,,
42,8599,,0.03191544860601425,,
42,8599,,,0.027515370398759842,27.967632293701172
42,8599,0.031161198392510414,,,
43,8649,,0.039308562874794006,,
43,8699,,0.032505638897418976,,
43,8749,,0.0456906259059906,,
43,8799,,0.03360188752412796,,
43,8799,,,0.027475889772176743,27.851903915405273
43,8799,0.03243241831660271,,,
44,8849,,0.02193049155175686,,
